Bezirke,Year,Population
Treptow-Koepenick,1995,215595
Treptow-Koepenick,1996,218125
Treptow-Koepenick,1997,221996
Treptow-Koepenick,1998,225197
Treptow-Koepenick,1999,227477
Treptow-Koepenick,2000,228852
Treptow-Koepenick,2001,230967
Treptow-Koepenick,2002,230533
Treptow-Koepenick,2003,231514
Treptow-Koepenick,2004,232586
Treptow-Koepenick,2005,233094
Treptow-Koepenick,2006,234313
Treptow-Koepenick,2007,234979
Treptow-Koepenick,2008,236082
Treptow-Koepenick,2009,237753
Treptow-Koepenick,2010,239374
Treptow-Koepenick,2011,241487
Treptow-Koepenick,2012,243844
Treptow-Koepenick,2013,245951
Treptow-Koepenick,2014,249440
Treptow-Koepenick,2015,253333
Treptow-Koepenick,2016,259524
Treptow-Koepenick,2017,264999
Treptow-Koepenick,2018,269775
Treptow-Koepenick,2019,273689
Treptow-Koepenick,2020,276165
Treptow-Koepenick,2021,280357
Treptow-Koepenick,2022,289180
Treptow-Koepenick,2023,294081
Marzahn-Hellersdorf,1991,291203
Marzahn-Hellersdorf,1992,297998
Marzahn-Hellersdorf,1993,298115
Marzahn-Hellersdorf,1994,297207
Marzahn-Hellersdorf,1995,295281
Marzahn-Hellersdorf,1996,290229
Marzahn-Hellersdorf,1997,279233
Marzahn-Hellersdorf,1998,270806
Marzahn-Hellersdorf,1999,265533
Marzahn-Hellersdorf,2000,261191
Marzahn-Hellersdorf,2001,256089
Marzahn-Hellersdorf,2002,252802
Marzahn-Hellersdorf,2003,249676
Marzahn-Hellersdorf,2004,248561
Marzahn-Hellersdorf,2005,247572
Marzahn-Hellersdorf,2006,247130
Marzahn-Hellersdorf,2007,246193
Marzahn-Hellersdorf,2008,244637
Marzahn-Hellersdorf,2009,244165
Marzahn-Hellersdorf,2010,246225
Marzahn-Hellersdorf,2011,249232
Marzahn-Hellersdorf,2012,251879
Marzahn-Hellersdorf,2013,254226
Marzahn-Hellersdorf,2014,256173
Marzahn-Hellersdorf,2015,259373
Marzahn-Hellersdorf,2016,262015
Marzahn-Hellersdorf,2017,266684
Marzahn-Hellersdorf,2018,268739
Marzahn-Hellersdorf,2019,269967
Marzahn-Hellersdorf,2020,273731
Marzahn-Hellersdorf,2021,277639
Marzahn-Hellersdorf,2022,285678
Marzahn-Hellersdorf,2023,291948
Lichtenberg,1991,286687
Lichtenberg,1992,285961
Lichtenberg,1993,284850
Lichtenberg,1994,285944
Lichtenberg,1995,285528
Lichtenberg,1996,280892
Lichtenberg,1997,273794
Lichtenberg,1998,267432
Lichtenberg,1999,261012
Lichtenberg,2000,255899
Lichtenberg,2001,254691
Lichtenberg,2002,253754
Lichtenberg,2003,252267
Lichtenberg,2004,251202
Lichtenberg,2005,252401
Lichtenberg,2006,252042
Lichtenberg,2007,250811
Lichtenberg,2008,251059
Lichtenberg,2009,251626
Lichtenberg,2010,253539
Lichtenberg,2011,256280
Lichtenberg,2012,260505
Lichtenberg,2013,264858
Lichtenberg,2014,268465
Lichtenberg,2015,275142
Lichtenberg,2016,283121
Lichtenberg,2017,286246
Lichtenberg,2018,290493
Lichtenberg,2019,294201
Lichtenberg,2020,296837
Lichtenberg,2021,299686
Lichtenberg,2022,308286
Lichtenberg,2023,311881
Reinickendorf,1991,253362
Reinickendorf,1992,253641
Reinickendorf,1993,254793
Reinickendorf,1994,254300
Reinickendorf,1995,255559
Reinickendorf,1996,255155
Reinickendorf,1997,252413
Reinickendorf,1998,249136
Reinickendorf,1999,248317
Reinickendorf,2000,246533
Reinickendorf,2001,246507
Reinickendorf,2002,246793
Reinickendorf,2003,246577
Reinickendorf,2004,246498
Reinickendorf,2005,245122
Reinickendorf,2006,243276
Reinickendorf,2007,242150
Reinickendorf,2008,241432
Reinickendorf,2009,241203
Reinickendorf,2010,242084
Reinickendorf,2011,244727
Reinickendorf,2012,247887
Reinickendorf,2013,251325
Reinickendorf,2014,254000
Reinickendorf,2015,256617
Reinickendorf,2016,261919
Reinickendorf,2017,263597
Reinickendorf,2018,264826
Reinickendorf,2019,266408
Reinickendorf,2020,266123
Reinickendorf,2021,265772
Reinickendorf,2022,268308
Reinickendorf,2023,268792
Berlin,1991,3443575
Berlin,1992,3456891
Berlin,1993,3461421
Berlin,1994,3452284
Berlin,1995,3446039
Berlin,1996,3428644
Berlin,1997,3387901
Berlin,1998,3358235
Berlin,1999,3340887
Berlin,2000,3331232
Berlin,2001,3337232
Berlin,2002,3336248
Berlin,2003,3330242
Berlin,2004,3333108
Berlin,2005,3339436
Berlin,2006,3348805
Berlin,2007,3353858
Berlin,2008,3362843
Berlin,2009,3369672
Berlin,2010,3387562
Berlin,2011,3427114
Berlin,2012,3469621
Berlin,2013,3517424
Berlin,2014,3562166
Berlin,2015,3610156
Berlin,2016,3670622
Berlin,2017,3711930
Berlin,2018,3748148
Berlin,2019,3769495
Berlin,2020,3769962
Berlin,2021,3775480
Berlin,2022,3850809
Berlin,2023,3878100
