key,neighborhood,district,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence
111003,Neu-Hohenschoenhausen Sued,Lichtenberg,2013,8738,124,31,1077,189,236,3688,224,444,301,154,66,23,931,112,151,2375
112004,Alt-Hohenschoenhausen Nord,Lichtenberg,2013,11955,96,22,808,141,311,6170,178,1038,274,326,67,37,1387,245,96,2366
112005,Alt-Hohenschoenhausen Sued,Lichtenberg,2013,8523,95,44,661,122,298,4495,231,912,498,224,47,14,997,234,108,2370
113006,Fennpfuhl,Lichtenberg,2013,7752,78,44,781,147,228,3537,228,759,578,137,53,12,962,225,75,1859
113007,Alt-Lichtenberg,Lichtenberg,2013,15670,123,72,1349,354,398,7371,239,1218,661,203,68,36,1365,350,195,3196
113008,Frankfurter Allee Sued,Lichtenberg,2013,15898,181,101,1067,191,312,6897,322,1007,1369,161,81,30,1389,383,453,2567
114009,Neu-Lichtenberg,Lichtenberg,2013,9363,97,40,779,160,207,4493,240,653,916,100,77,47,1016,323,187,2095
114010,Friedrichsfelde Nord,Lichtenberg,2013,11341,111,37,1138,266,355,5253,362,1027,296,288,148,52,1049,229,140,2534
114011,Friedrichsfelde Sued,Lichtenberg,2013,5979,102,33,602,122,224,2650,187,508,350,199,41,12,776,309,53,1524
115012,Rummelsburger Bucht,Lichtenberg,2013,10721,120,90,571,210,210,5345,240,1321,991,270,511,180,1862,390,270,1832
115013,Karlshorst,Lichtenberg,2013,6511,43,21,455,103,180,3526,257,759,669,287,77,43,828,146,26,1454
120000,Reinickendorf,Reinickendorf-Total,2013,11963,145,71,1115,247,461,5260,107,1009,541,362,73,33,1083,174,397,2720
121001,Ost 1 - Reginhardstrasse,Reinickendorf,2013,11237,138,50,1504,376,637,4523,107,702,602,303,58,38,978,123,457,3710
121002,Ost 2 - Alt-Reinickendorf,Reinickendorf,2013,12555,159,54,1153,224,480,5272,132,1095,654,232,112,50,1156,197,545,2878
122003,West 4 - Auguste-Viktoria-Allee,Reinickendorf,2013,12888,159,60,1276,310,620,5147,119,644,441,246,56,36,1284,191,358,3164
122004,West 1 - Tegel-Sued/Flughafensee,Reinickendorf,2013,13225,101,27,1185,289,538,4375,81,1131,377,545,61,40,922,108,1508,2901
122005,West 5 - Tegel,Reinickendorf,2013,17975,217,118,1303,345,444,8864,109,701,938,188,39,30,1471,326,336,2872
124006,West 2 - Heiligensee/Konradshoehe,Reinickendorf,2013,5677,13,13,388,67,196,2753,67,1136,322,539,42,17,902,171,100,1170
124007,Nord 1 - Frohnau/Hermsdorf,Reinickendorf,2013,6176,64,21,341,67,140,3573,125,1166,804,624,18,3,685,164,52,974
125008,West 3 - Borsigwalde/Freie Scholle,Reinickendorf,2013,7986,88,38,707,169,300,3915,69,582,432,400,94,25,688,81,156,1588
125009,Nord 2 - Waidmannslust/Wittenau/Luebars,Reinickendorf,2013,10859,145,67,1027,202,411,5312,71,919,555,333,44,13,862,215,289,2168
126010,Rollbergesiedlung,Reinickendorf,2013,12499,164,106,961,246,434,5616,59,938,305,422,59,35,1266,164,176,2497
126011,MV Nord,Reinickendorf,2013,13914,291,187,1856,461,672,6343,141,955,345,174,104,33,1249,116,461,4570
126012,MV Sued,Reinickendorf,2013,8368,89,64,1168,185,451,3544,24,757,395,201,121,56,878,64,185,2907
010000,Mitte,Mitte-Total,2014,26005,289,148,1930,494,593,11942,152,1239,1330,434,87,36,1539,332,820,4472
011001,Tiergarten Sued,Mitte,2014,38738,527,337,3527,981,885,18220,117,1529,1427,512,59,37,1683,212,1068,7208
011002,Regierungsviertel,Mitte,2014,86715,507,166,4553,952,1117,45577,103,1852,3839,538,31,21,3735,1438,807,8608
011003,Alexanderplatz,Mitte,2014,42672,401,210,2601,752,684,21235,169,1375,2147,486,89,34,2294,686,938,5861
011004,Brunnenstrasse Sued,Mitte,2014,15983,124,55,640,113,233,8235,204,836,1788,462,22,4,1363,560,265,2758
012005,Moabit West,Mitte,2014,16357,175,73,1240,341,347,6006,166,1081,906,268,79,34,1058,184,468,2734
012006,Moabit Ost,Mitte,2014,28979,150,83,1635,431,487,10532,117,1134,1176,272,114,53,1321,225,1059,3511
013007,Osloer Strasse,Mitte,2014,22418,299,140,2025,512,582,10271,81,1089,922,545,89,32,1218,124,690,4359
013008,Brunnenstrasse Nord,Mitte,2014,20044,298,130,1701,455,590,8926,185,1089,1020,488,127,52,1481,317,780,4227
014009,Parkviertel,Mitte,2014,16046,206,106,1449,349,529,7706,134,1049,813,407,60,18,1031,113,425,3792
014010,Wedding Zentrum,Mitte,2014,18863,237,123,1846,513,632,6829,110,866,772,466,60,31,1185,259,893,4181
020000,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg-Total,2014,22646,342,237,1735,553,441,10484,177,1131,1578,329,114,40,1833,370,1107,4035
021001,Suedliche  Friedrichstadt,Friedrichshain-Kreuzberg,2014,27216,331,203,1754,537,564,10689,125,2022,1182,406,103,33,1473,261,519,3971
022002,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,2014,17093,181,91,1408,387,395,7874,155,858,1593,368,80,29,1235,315,329,2984
023003,Noerdliche Luisenstadt,Friedrichshain-Kreuzberg,2014,31283,530,361,2426,990,525,14145,117,812,1834,432,174,61,1961,596,1651,4903
023004,Suedliche Luisenstadt,Friedrichshain-Kreuzberg,2014,25828,642,491,2093,989,422,10260,112,794,1367,314,191,65,1797,574,3251,4459
024005,Karl-Marx-Allee Nord,Friedrichshain-Kreuzberg,2014,11722,135,91,801,205,318,6403,296,1158,984,313,78,26,1162,157,118,2734
024006,Karl-Marx-Allee Sued,Friedrichshain-Kreuzberg,2014,27391,354,232,2388,679,443,14423,169,1282,1502,194,67,21,2130,426,1169,4632
025007,Frankfurter Allee Nord,Friedrichshain-Kreuzberg,2014,16001,57,32,1024,231,302,7359,256,690,1664,249,96,36,1881,260,213,3441
025008,Frankfurter Allee Sued FK,Friedrichshain-Kreuzberg,2014,21255,329,230,1836,627,331,10642,139,706,1738,296,89,39,2335,449,1325,4294
030000,Pankow,Pankow-Total,2014,10468,82,45,680,167,250,5788,215,808,1226,299,45,18,1050,272,131,2226
031001,Buch,Pankow,2014,10460,42,21,866,231,538,5324,210,1335,671,168,133,56,1209,259,140,2124
032002,Blankenfelde/Niederschoenhausen,Pankow,2014,5736,27,8,418,114,217,2803,87,608,463,311,42,11,501,84,46,1147
032003,Buchholz,Pankow,2014,5190,12,6,385,93,169,2642,122,443,292,222,12,0,542,157,52,834
033004,Karow,Pankow,2014,4272,21,16,278,43,123,2152,48,476,557,268,11,0,519,48,48,766
033005,Blankenburg/Heinersdorf/Maerchenland,Pankow,2014,10279,56,7,544,132,321,5784,118,927,746,369,49,49,711,98,35,1303
034006,Schoenholz/Wilhelmsruh/Rosenthal,Pankow,2014,6412,52,17,322,35,219,3554,109,627,575,385,23,0,638,115,81,1225
034007,Pankow Zentrum,Pankow,2014,10434,97,56,512,109,215,6414,159,674,1807,203,74,32,868,200,106,2010
034008,Pankow Sued,Pankow,2014,7484,78,45,484,144,222,4196,207,643,1165,216,39,30,871,168,45,1967
035009,Weissensee,Pankow,2014,8991,75,37,800,190,299,4731,184,607,736,187,43,12,1004,216,98,2304
035010,Weissensee Ost,Pankow,2014,8775,33,27,944,179,339,3863,173,858,519,239,53,13,1150,206,160,2107
036011,Prenzlauer Berg Nordwest,Pankow,2014,13873,152,88,801,248,204,7805,204,921,2065,180,44,16,1125,332,236,2850
036012,Prenzlauer Berg Nord,Pankow,2014,12160,117,49,591,136,192,7383,301,799,2061,143,26,15,1047,460,124,2287
036013,Helmholtzplatz,Pankow,2014,10559,41,14,624,181,145,6646,213,489,1633,430,32,18,968,317,86,2728
036014,Prenzlauer Berg Ost,Pankow,2014,16887,107,59,919,234,234,8927,360,1192,1358,305,40,16,2099,879,190,2661
037015,Prenzlauer Berg Suedwest,Pankow,2014,14834,96,52,1252,379,223,8966,247,757,1690,745,28,8,1355,435,116,3672
037016,Prenzlauer Berg Sued,Pankow,2014,8992,41,22,451,88,155,5318,312,713,1199,432,38,19,982,218,92,2317
040000,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf-Total,2014,16496,198,105,1188,281,462,8300,237,1446,964,540,41,18,1059,238,374,3108
041001,Charlottenburg Nord,Charlottenburg-Wilmersdorf,2014,14932,252,134,1576,316,595,6273,284,2027,338,407,48,21,1201,263,847,3887
042002,Heerstrasse,Charlottenburg-Wilmersdorf,2014,11421,111,71,1193,379,285,5604,427,1581,466,759,8,8,1446,577,158,2268
042003,Westend,Charlottenburg-Wilmersdorf,2014,16804,137,92,783,163,414,10066,236,1478,713,414,44,30,964,170,66,2778
043004,Schloss Charlottenburg,Charlottenburg-Wilmersdorf,2014,11979,129,31,982,240,357,5899,141,927,1071,398,31,14,1011,340,271,2674
043005,Mierendorffplatz,Charlottenburg-Wilmersdorf,2014,14415,277,108,890,263,452,5808,108,1383,479,283,27,0,789,121,830,2435
043006,Otto-Suhr-Allee/Kantstrasse,Charlottenburg-Wilmersdorf,2014,21694,223,102,1358,293,584,10951,153,1057,1445,467,47,15,1203,206,444,3527
044007,Grunewald,Charlottenburg-Wilmersdorf,2014,8987,71,43,434,114,239,5112,342,1633,315,1319,33,16,705,163,81,2268
044008,Schmargendorf,Charlottenburg-Wilmersdorf,2014,6485,53,31,475,65,202,3773,121,779,776,537,28,9,478,68,68,1502
