key,neighborhood,district,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence
071002,Schöneberg Nordost,Tempelhof-Schöneberg,2013," 11,920 ", 237 , 83 , 964 , 285 , 346 ," 5,213 ", 193 , 880 ," 1,135 ", 421 , 74 , 39 ," 1,244 ", 359 , 372 ," 2,861 "
072003,Schöneberg Südwest,Tempelhof-Schöneberg,2013," 9,403 ", 156 , 85 , 798 , 216 , 286 ," 4,697 ", 90 , 748 ," 1,144 ", 366 , 40 , 15 , 823 , 140 , 236 ," 2,313 "
072004,Schöneberg Südost,Tempelhof-Schöneberg,2013," 16,173 ", 171 , 89 ," 1,347 ", 373 , 398 ," 6,757 ", 121 , 668 ," 1,347 ", 316 , 50 , 21 ," 1,194 ", 327 , 444 ," 3,171 "
073005,Friedenau West,Tempelhof-Schöneberg,2013," 12,226 ", 98 , 34 , 494 , 72 , 213 ," 8,068 ", 132 , 855 ," 1,089 ", 234 , 43 , 17 , 672 , 209 , 128 ," 1,366 "
073006,Friedenau Ost,Tempelhof-Schöneberg,2013," 9,178 ", 138 , 38 , 620 , 114 , 229 ," 4,239 ", 224 , 911 , 672 , 167 , 76 , 14 , 882 , 238 , 148 ," 1,678 "
074007,Tempelhof Nord,Tempelhof-Schöneberg,2013," 13,603 ", 121 , 42 , 916 , 205 , 374 ," 4,460 ", 90 , 898 , 844 , 187 , 84 , 18 ," 1,193 ", 229 , 886 ," 2,381 "
074008,Tempelhof Südwest,Tempelhof-Schöneberg,2013," 11,996 ", 154 , 57 , 975 , 221 , 345 ," 5,077 ", 154 ," 1,048 ", 445 , 244 , 64 , 20 , 938 , 174 , 188 ," 2,301 "
074009,Tempelhof Südost,Tempelhof-Schöneberg,2013," 19,083 ", 132 , 59 ," 1,298 ", 352 , 814 ," 8,713 ", 323 ," 1,944 ", 528 , 301 , 66 , 29 ," 1,269 ", 169 , 198 ," 3,506 "
075010,Mariendorf Nord,Tempelhof-Schöneberg,2013," 8,016 ", 107 , 53 , 782 , 150 , 364 ," 3,338 ", 197 , 852 , 244 , 281 , 47 , 17 , 926 , 164 , 217 ," 2,245 "
075011,Mariendorf Süd,Tempelhof-Schöneberg,2013," 8,919 ", 104 , 59 , 797 , 213 , 277 ," 3,937 ", 134 ," 1,119 ", 292 , 302 , 45 , -   , 872 , 50 , 158 ," 2,006 "
076012,Marienfelde Nord,Tempelhof-Schöneberg,2013," 7,593 ", 93 , 41 , 753 , 169 , 303 ," 3,455 ", 123 , 858 , 268 , 263 , 64 , 6 , 619 , 64 , 123 ," 1,763 "
076013,Marienfelde Süd,Tempelhof-Schöneberg,2013," 9,950 ", 44 , 22 , 808 , 200 , 400 ," 5,116 ", 74 , 623 , 215 , 171 , 67 , 15 , 771 , 89 , 171 ," 2,269 "
076014,Lichtenrade Nord,Tempelhof-Schöneberg,2013," 5,007 ", 24 , 10 , 586 , 127 , 210 ," 2,181 ", 107 , 761 , 93 , 478 , 54 , 24 , 527 , 20 , 102 ," 1,313 "
076015,Lichtenrade Süd,Tempelhof-Schöneberg,2013," 6,691 ", 69 , 27 , 652 , 124 , 292 ," 2,659 ", 96 , 776 , 261 , 278 , 48 , 17 , 786 , 206 , 134 ," 1,469 "
080000,Neukölln,Neukölln-Total,2013," 13,989 ", 235 , 128 ," 1,273 ", 372 , 468 ," 6,098 ", 174 ," 1,040 ", 486 , 363 , 78 , 32 ," 1,346 ", 206 , 510 ," 3,280 "
081001,Schillerpromenade,Neukölln,2013," 18,445 ", 414 , 231 ," 2,043 ", 689 , 626 ," 6,691 ", 117 , 863 , 613 , 443 , 98 , 38 ," 1,689 ", 389 ," 2,663 "," 4,946 "
081002,Neuköllner Mitte/Zentrum,Neukölln,2013," 24,157 ", 331 , 169 ," 2,113 ", 601 , 633 ," 11,377 ", 146 ," 1,080 ", 580 , 463 , 103 , 50 ," 1,612 ", 320 , 495 ," 5,205 "
081003,Reuterstraße,Neukölln,2013," 14,297 ", 234 , 113 ," 1,188 ", 428 , 400 ," 6,375 ", 154 , 556 , 695 , 380 , 65 , 35 ," 1,329 ", 279 , 513 ," 3,073 "
081004,Rixdorf,Neukölln,2013," 12,941 ", 278 , 147 ," 1,409 ", 407 , 468 ," 5,458 ", 111 , 835 , 660 , 374 , 76 , 38 ," 1,232 ", 220 , 271 ," 3,629 "
081005,Köllnische Heide,Neukölln,2013," 19,484 ", 187 , 93 ," 1,493 ", 440 , 820 ," 8,489 ", 360 ," 2,006 ", 213 , 293 , 140 , 53 ," 3,312 ", 293 , 147 ," 4,285 "
082006,Britz Nord,Neukölln,2013," 12,748 ", 157 , 98 ," 1,232 ", 407 , 461 ," 5,554 ", 206 ," 1,602 ", 320 , 364 , 109 , 38 , 983 , 71 , 163 ," 3,502 "
082007,Britz,Neukölln,2013," 10,295 ", 181 , 106 , 813 , 159 , 416 ," 4,372 ", 248 ," 1,216 ", 385 , 402 , 84 , 35 , 906 , 106 , 75 ," 2,144 "
082008,Buckow,Neukölln,2013," 5,591 ", 83 , 40 , 457 , 122 , 219 ," 2,385 ", 86 , 734 , 130 , 335 , 36 , 11 , 738 , 97 , 68 ," 1,518 "
083009,Gropiusstadt West,Neukölln,2013," 14,606 ", 252 , 134 , 678 , 185 , 319 ," 6,905 ", 113 , 622 , 539 , 236 , 87 , 41 ," 1,762 ", 231 , 82 ," 2,420 "
083010,Gropiusstadt Ost,Neukölln,2013," 6,041 ", 124 , 30 , 777 , 166 , 296 ," 2,377 ", 124 , 593 , 320 , 154 , 59 , 18 , 717 , 53 , 36 ," 1,968 "
084011,Buckow Nord,Neukölln,2013," 10,366 ", 107 , 21 , 931 , 203 , 407 ," 4,814 ", 128 ," 1,177 ", 267 , 300 , 139 , 11 , 920 , 53 , 53 ," 2,257 "
084012,Rudow,Neukölln,2013," 6,190 ", 71 , 40 , 499 , 159 , 216 ," 3,027 ", 259 , 985 , 326 , 364 , 19 , 7 , 602 , 50 , 31 ," 1,229 "
090000,Treptow-Köpenick,Treptow-Köpenick-Total,2013," 9,561 ", 85 , 45 , 821 , 178 , 317 ," 4,401 ", 204 , 914 , 786 , 184 , 70 , 31 ," 1,153 ", 338 , 140 ," 1,904 "
091001,Alt-Treptow,Treptow-Köpenick,2013," 18,196 ", 341 , 206 ," 1,149 ", 287 , 278 ," 9,704 ", 171 , 862 ," 2,002 ", 377 , 18 , 9 ," 1,418 ", 494 , 485 ," 2,926 "
091002,Plänterwald,Treptow-Köpenick,2013," 9,221 ", 92 , 55 , 699 , 138 , 212 ," 5,043 ", 202 ," 1,601 ", 690 , 294 , 55 , 9 ," 1,132 ", 138 , 37 ," 2,052 "
091003,Baumschulenweg,Treptow-Köpenick,2013," 7,954 ", 115 , 63 , 534 , 115 , 316 ," 3,679 ", 184 ," 1,044 ", 562 , 270 , 46 , 17 , 890 , 264 , 98 ," 1,670 "
091004,Johannisthal,Treptow-Köpenick,2013," 7,563 ", 54 , 16 , 499 , 87 , 282 ," 3,268 ", 309 , 825 , 440 , 244 , 60 , 33 , 820 , 190 , 87 ," 1,265 "
092005,Oberschöneweide,Treptow-Köpenick,2013," 12,194 ", 101 , 61 ," 1,667 ", 385 , 461 ," 4,941 ", 304 , 740 , 593 , 137 , 51 , 25 ," 1,718 ", 618 , 193 ," 3,320 "
092006,Niederschöneweide,Treptow-Köpenick,2013," 19,092 ", 123 , 38 ," 1,319 ", 368 , 405 ," 8,613 ", 207 , 792 ," 1,168 ", 94 , 85 , 47 ," 2,488 "," 1,366 ", 254 ," 2,525 "
092007,Adlershof,Treptow-Köpenick,2013," 11,836 ", 122 , 77 , 704 , 211 , 326 ," 5,841 ", 179 , 813 ," 1,280 ", 115 , 32 , 6 , 902 , 198 , 90 ," 1,695 "
092008,Köllnische Vorstadt/Spindlersfeld,Treptow-Köpenick,2013," 10,029 ", 100 , 50 ," 1,403 ", 341 , 391 ," 3,146 ", 190 , 501 , 731 , 130 , 200 , 140 ," 1,974 ", 611 , 240 ," 3,086 "
093009,Altglienicke,Treptow-Köpenick,2013," 5,182 ", 27 , 12 , 597 , 116 , 275 ," 2,312 ", 178 , 787 , 361 , 178 , 50 , 12 , 454 , 74 , 81 ," 1,218 "
093010,Bohnsdorf,Treptow-Köpenick,2013," 6,289 ", 33 , 8 , 530 , 75 , 232 ," 2,751 ", 174 , 630 , 323 , 232 , 41 , 25 , 887 , 240 , 99 ," 1,069 "
093011,Grünau,Treptow-Köpenick,2013," 8,827 ", 36 , -   , 431 , 108 , 215 ," 4,108 ", 269 , 718 ," 1,292 ", 269 , 36 , 18 ," 1,363 ", 700 , 126 , 951 
093012,Schmöckwitz,Treptow-Köpenick,2013," 7,550 ", 25 , -   , 518 , 74 , 271 ," 3,874 ", 99 ," 1,925 ", 74 , 321 , 49 , 49 , 493 , -   , -   , 938 
094013,Köpenick Süd,Treptow-Köpenick,2013," 4,374 ", -   , -   , 400 , 53 , 169 ," 1,725 ", 89 , 676 , 213 , 53 , 89 , 18 , 800 , 169 , 44 , 951 
094014,Allende-Viertel,Treptow-Köpenick,2013," 5,559 ", 36 , 18 , 543 , 36 , 181 ," 3,060 ", 181 , 362 , 724 , 54 , 54 , 9 , 561 , 145 , 45 ," 1,385 "
094015,Altstadt Köpenick,Treptow-Köpenick,2013," 8,242 ", 47 , -   ," 1,215 ", 187 , 374 ," 3,023 ", 109 , 358 , 919 , 140 , 47 , 16 ," 1,215 ", 218 , 93 ," 2,664 "
094016,Müggelheim,Treptow-Köpenick,2013," 3,305 ", -   , -   , 214 , 15 , 214 ," 1,454 ", 92 , 398 , 92 , 92 , 15 , -   , 367 , -   , 15 , 643 
095017,Friedrichshagen,Treptow-Köpenick,2013," 5,603 ", 51 , 17 , 376 , 97 , 188 ," 3,149 ", 165 , 478 ," 1,219 ", 80 , 34 , 11 , 695 , 262 , 11 , 911 
095018,Rahnsdorf,Treptow-Köpenick,2013," 6,494 ", 22 , 22 , 267 , 56 , 223 ," 3,754 ", 123 ," 1,560 ", 746 , 412 , 22 , 11 , 691 , 145 , 11 , 780 
095019,Dammvorstadt,Treptow-Köpenick,2013," 18,135 ", 94 , 42 ," 1,423 ", 314 , 356 ," 8,309 ", 157 , 628 ," 1,612 ", 105 , 199 , 126 ," 1,486 ", 199 , 523 ," 3,275 "
095020,Köpenick Nord,Treptow-Köpenick,2013," 4,501 ", 33 , 16 , 261 , 114 , 236 ," 2,169 ", 171 , 587 , 448 , 220 , 65 , 24 , 546 , 73 , 8 , 962 
100000,Marzahn-Hellersdorf,Marzahn-Hellersdorf-Total,2013," 9,859 ", 129 , 62 ," 1,241 ", 243 , 384 ," 3,885 ", 201 , 803 , 440 , 164 , 95 , 32 ," 1,114 ", 245 , 128 ," 2,462 "
