key,neighborhood,neighborhood_original,Prognoseraum (Name),district,district_original,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence,,,,,,,,,,,,,,,,,,,
060000,Steglitz-Zehlendorf,Steglitz-Zehlendorf,Steglitz-Zehlendorf,Steglitz-Zehlendorf-Total,Steglitz-Zehlendorf-Total,2013,26876,288,123,1786,337,872,14146,545,3275,1601,1256,127,40,2537,643,423,5008,,,,,,,,,,,,,,,,,,,
061001,Schlossstrasse,Schloßstraße,Steglitz,Steglitz-Zehlendorf,Steglitz-Zehlendorf,2013,4600,62,28,190,32,67,2821,27,189,169,107,12,5,226,75,34,552,,,,,,,,,,,,,,,,,,,
061002,Albrechtstrasse,Albrechtstraße,Steglitz,Steglitz-Zehlendorf,Steglitz-Zehlendorf,2013,3181,51,20,246,53,137,1580,109,396,230,162,16,6,308,58,56,831,,,,,,,,,,,,,,,,,,,
062003,Lankwitz,Lankwitz,Lankwitz/Lichterfelde Ost,Steglitz-Zehlendorf,Steglitz-Zehlendorf,2013,3001,31,13,293,60,133,1273,57,304,120,137,24,6,340,59,81,748,,,,,,,,,,,,,,,,,,,
062004,Ostpreussendamm,Ostpreußendamm,Lankwitz/Lichterfelde Ost,Steglitz-Zehlendorf,Steglitz-Zehlendorf,2013,2571,16,10,227,48,88,1252,57,330,181,89,12,6,254,67,54,513,,,,,,,,,,,,,,,,,,,
063005,Teltower Damm,Teltower Damm,Zehlendorf Süd/Lichterfelde West,Steglitz-Zehlendorf,Steglitz-Zehlendorf,2013,2505,30,12,150,29,90,1360,56,357,264,148,16,4,259,58,37,455,,,,,,,,,,,,,,,,,,,
063006,Drakestrasse,Drakestraße,Zehlendorf Süd/Lichterfelde West,Steglitz-Zehlendorf,Steglitz-Zehlendorf,2013,3369,29,6,189,32,100,1887,84,480,218,166,17,8,269,32,46,602,,,,,,,,,,,,,,,,,,,
064007,Zehlendorf Suedwest,Zehlendorf Südwest,Zehlendorf Nord/Wannsee,Steglitz-Zehlendorf,Steglitz-Zehlendorf,2013,2416,18,8,161,32,74,1289,48,414,128,155,6,2,266,106,29,400,,,,,,,,,,,,,,,,,,,
064008,Zehlendorf Nord,Zehlendorf Nord,Zehlendorf Nord/Wannsee,Steglitz-Zehlendorf,Steglitz-Zehlendorf,2013,3732,22,7,193,40,104,2113,84,658,216,291,14,2,370,130,38,556,,,,,,,,,,,,,,,,,,,
070000,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,Tempelhof-Schoeneberg,Tempelhof-Schoeneberg-Total,Tempelhof-Schöneberg-Total,2013,41115,600,288,3320,808,1278,18641,506,3253,2169,1022,232,67,3465,673,1122,8411,,,,,,,,,,,,,,,,,,,
071001,Schoeneberg Nordwest,Schöneberg Nordwest,Schöneberg Nord,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,6112,162,86,491,157,143,3029,39,276,178,137,32,10,348,50,196,1176,,,,,,,,,,,,,,,,,,,
071002,Schoeneberg Nordost,Schöneberg Nordost,Schöneberg Nord,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,2721,54,19,220,65,79,1190,44,201,259,96,17,9,284,82,85,653,,,,,,,,,,,,,,,,,,,
072003,Schoeneberg Suedwest,Schöneberg Südwest,Schöneberg Süd,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,1874,31,17,159,43,57,936,18,149,228,73,8,3,164,28,47,461,,,,,,,,,,,,,,,,,,,
072004,Schoeneberg Suedost,Schöneberg Südost,Schöneberg Süd,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,4550,48,25,379,105,112,1901,34,188,379,89,14,6,336,92,125,892,,,,,,,,,,,,,,,,,,,
073005,Friedenau West,Friedenau West,Friedenau,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,2873,23,8,116,17,50,1896,31,201,256,55,10,4,158,49,30,321,,,,,,,,,,,,,,,,,,,
073006,Friedenau Ost,Friedenau Ost,Friedenau,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,1925,29,8,130,24,48,889,47,191,141,35,16,3,185,50,31,352,,,,,,,,,,,,,,,,,,,
074007,Tempelhof Nord,Tempelhof Nord,Tempelhof,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,2257,20,7,152,34,62,740,15,149,140,31,14,3,198,38,147,395,,,,,,,,,,,,,,,,,,,
074008,Tempelhof Suedwest,Tempelhof Südwest,Tempelhof,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,3582,46,17,291,66,103,1516,46,313,133,73,19,6,280,52,56,687,,,,,,,,,,,,,,,,,,,
074009,Tempelhof Suedost,Tempelhof Südost,Tempelhof,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,2602,18,8,177,48,111,1188,44,265,72,41,9,4,173,23,27,478,,,,,,,,,,,,,,,,,,,
075010,Mariendorf Nord,Mariendorf Nord,Mariendorf,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,2399,32,16,234,45,109,999,59,255,73,84,14,5,277,49,65,672,,,,,,,,,,,,,,,,,,,
075011,Mariendorf Sued,Mariendorf Süd,Mariendorf,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,1801,21,12,161,43,56,795,27,226,59,61,9,0,176,10,32,405,,,,,,,,,,,,,,,,,,,
076012,Marienfelde Nord,Marienfelde Nord,Marienfelde / Lichtenrade,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,1301,16,7,129,29,52,592,21,147,46,45,11,1,106,11,21,302,,,,,,,,,,,,,,,,,,,
076013,Marienfelde Sued,Marienfelde Süd,Marienfelde / Lichtenrade,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,1342,6,3,109,27,54,690,10,84,29,23,9,2,104,12,23,306,,,,,,,,,,,,,,,,,,,
076014,Lichtenrade Nord,Lichtenrade Nord,Marienfelde / Lichtenrade,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,1026,5,2,120,26,43,447,22,156,19,98,11,5,108,4,21,269,,,,,,,,,,,,,,,,,,,
076015,Lichtenrade Sued,Lichtenrade Süd,Marienfelde / Lichtenrade,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2013,1950,20,8,190,36,85,775,28,226,76,81,14,5,229,60,39,428,,,,,,,,,,,,,,,,,,,
