key,neighborhood,area,year,crime_category,crime_count,rank
23506,Altglienicke,Treptow-Köpenick 3,2013,neighborhood_offence,314,2.0
11026,Altglienicke,Treptow-Köpenick 3,2013,theft_parts_motor_vehicles,203,3.0
8061,Altglienicke,Treptow-Köpenick 3,2014,theft_total,703,1.0
23661,Altglienicke,Treptow-Köpenick 3,2014,neighborhood_offence,292,2.0
11181,Altglienicke,Treptow-Köpenick 3,2014,theft_parts_motor_vehicles,160,3.0
8216,Altglienicke,Treptow-Köpenick 3,2015,theft_total,679,1.0
23816,Altglienicke,Treptow-Köpenick 3,2015,neighborhood_offence,327,2.0
19136,Altglienicke,Treptow-Köpenick 3,2015,prop_damage_total,132,3.0
8371,Altglienicke,Treptow-Köpenick 3,2016,theft_total,823,1.0
23971,Altglienicke,Treptow-Köpenick 3,2016,neighborhood_offence,361,2.0
11491,Altglienicke,Treptow-Köpenick 3,2016,theft_parts_motor_vehicles,245,3.0
8526,Altglienicke,Treptow-Köpenick 3,2017,theft_total,707,1.0
24126,Altglienicke,Treptow-Köpenick 3,2017,neighborhood_offence,360,2.0
11646,Altglienicke,Treptow-Köpenick 3,2017,theft_parts_motor_vehicles,192,3.0
8681,Altglienicke,Treptow-Köpenick 3,2018,theft_total,675,1.0
24281,Altglienicke,Treptow-Köpenick 3,2018,neighborhood_offence,398,2.0
19601,Altglienicke,Treptow-Köpenick 3,2018,prop_damage_total,182,3.0
8836,Altglienicke,Treptow-Köpenick 3,2019,theft_total,661,1.0
24436,Altglienicke,Treptow-Köpenick 3,2019,neighborhood_offence,431,2.0
4156,Altglienicke,Treptow-Köpenick 3,2019,physical_injuries_total,211,3.0
8991,Altglienicke,Treptow-Köpenick 3,2020,theft_total,696,1.0
24591,Altglienicke,Treptow-Köpenick 3,2020,neighborhood_offence,467,2.0
4311,Altglienicke,Treptow-Köpenick 3,2020,physical_injuries_total,188,3.0
9146,Altglienicke,Treptow-Köpenick 3,2021,theft_total,660,1.0
24746,Altglienicke,Treptow-Köpenick 3,2021,neighborhood_offence,499,2.0
4466,Altglienicke,Treptow-Köpenick 3,2021,physical_injuries_total,222,3.0
9301,Altglienicke,Treptow-Köpenick 3,2022,theft_total,799,1.0
24901,Altglienicke,Treptow-Köpenick 3,2022,neighborhood_offence,528,2.0
20221,Altglienicke,Treptow-Köpenick 3,2022,prop_damage_total,230,3.0
7912,Altstadt Köpenick,Treptow-Köpenick 4,2013,theft_total,194,1.0
23512,Altstadt Köpenick,Treptow-Köpenick 4,2013,neighborhood_offence,171,2.0
3232,Altstadt Köpenick,Treptow-Köpenick 4,2013,physical_injuries_total,78,3.0
8067,Altstadt Köpenick,Treptow-Köpenick 4,2014,theft_total,218,1.0
23667,Altstadt Köpenick,Treptow-Köpenick 4,2014,neighborhood_offence,154,2.0
18987,Altstadt Köpenick,Treptow-Köpenick 4,2014,prop_damage_total,80,3.0
8222,Altstadt Köpenick,Treptow-Köpenick 4,2015,theft_total,218,1.0
23822,Altstadt Köpenick,Treptow-Köpenick 4,2015,neighborhood_offence,170,2.0
3542,Altstadt Köpenick,Treptow-Köpenick 4,2015,physical_injuries_total,81,3.0
23977,Altstadt Köpenick,Treptow-Köpenick 4,2016,neighborhood_offence,230,1.0
8377,Altstadt Köpenick,Treptow-Köpenick 4,2016,theft_total,221,2.0
3697,Altstadt Köpenick,Treptow-Köpenick 4,2016,physical_injuries_total,113,3.0
24132,Altstadt Köpenick,Treptow-Köpenick 4,2017,neighborhood_offence,202,1.0
8532,Altstadt Köpenick,Treptow-Köpenick 4,2017,theft_total,180,2.0
3852,Altstadt Köpenick,Treptow-Köpenick 4,2017,physical_injuries_total,103,3.0
8687,Altstadt Köpenick,Treptow-Köpenick 4,2018,theft_total,205,1.0
24287,Altstadt Köpenick,Treptow-Köpenick 4,2018,neighborhood_offence,201,2.0
4007,Altstadt Köpenick,Treptow-Köpenick 4,2018,physical_injuries_total,118,3.0
24442,Altstadt Köpenick,Treptow-Köpenick 4,2019,neighborhood_offence,190,1.0
8842,Altstadt Köpenick,Treptow-Köpenick 4,2019,theft_total,167,2.0
19762,Altstadt Köpenick,Treptow-Köpenick 4,2019,prop_damage_total,107,3.0
8997,Altstadt Köpenick,Treptow-Köpenick 4,2020,theft_total,184,1.0
24597,Altstadt Köpenick,Treptow-Köpenick 4,2020,neighborhood_offence,168,2.0
4317,Altstadt Köpenick,Treptow-Köpenick 4,2020,physical_injuries_total,92,3.0
9152,Altstadt Köpenick,Treptow-Köpenick 4,2021,theft_total,237,1.0
24752,Altstadt Köpenick,Treptow-Köpenick 4,2021,neighborhood_offence,202,2.0
13832,Altstadt Köpenick,Treptow-Köpenick 4,2021,bike_theft,73,3.0
24907,Altstadt Köpenick,Treptow-Köpenick 4,2022,neighborhood_offence,263,1.0
9307,Altstadt Köpenick,Treptow-Köpenick 4,2022,theft_total,198,2.0
4627,Altstadt Köpenick,Treptow-Köpenick 4,2022,physical_injuries_total,112,3.0
7900,Baumschulenweg,Treptow-Köpenick 1,2013,theft_total,641,1.0
23500,Baumschulenweg,Treptow-Köpenick 1,2013,neighborhood_offence,291,2.0
11020,Baumschulenweg,Treptow-Köpenick 1,2013,theft_parts_motor_vehicles,182,3.0
8055,Baumschulenweg,Treptow-Köpenick 1,2014,theft_total,887,1.0
23655,Baumschulenweg,Treptow-Köpenick 1,2014,neighborhood_offence,289,2.0
11175,Baumschulenweg,Treptow-Köpenick 1,2014,theft_parts_motor_vehicles,209,3.0
8210,Baumschulenweg,Treptow-Köpenick 1,2015,theft_total,908,1.0
